标题,价格,销量,店铺,发货地,品牌,型号,货号,玩偶种类,玩具狗种类,适用年龄,卡通角色,玩具类型,颜色分类,版本类型,材质,填充物,高度,是否有导购视频,泰迪熊类型,芭比型号,类型,适用年龄段,产地,玩具系列,当前链接,上级链接,下载时间
可爱穿衣趴趴狗公仔睡觉抱枕靠垫毛绒玩具玩偶布娃娃女生生日礼物,49.00,5388人付款,飘飘龙旗舰店,浙江 杭州,飘飘龙,趴趴狗系列,JY20170406,狗狗,其他,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,靠垫/抱枕,升级版柔软白色狗崽 升级版柔软棕色狗崽,国产,毛绒,PP棉,50厘米 90厘米 70厘米 棕预售1月15日陆续发货 110厘米,,,,,,,,http://detail.tmall.com/item.htm?id=548138039257&ad_id=&am_id=&cm_id=140105335569ed55e27b&pm_id=&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=0,2018-01-12 09:46:22
泰迪熊猫公仔抱抱熊女生布娃娃玩偶抱枕大毛绒玩具送女友生日礼物,58.00,15728人付款,爱哚哚旗舰店,江苏 扬州,爱哚哚,,心心熊,熊熊,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,抱抱熊,公仔,心熊深棕 心熊紫 love熊深棕蓝围巾 love熊深棕红围 love熊浅棕蓝围巾 love熊浅棕红围巾,原装正版,毛绒,PP棉,80厘米（彩袋+玫瑰） 80厘米（箱装+玫瑰） 1米（彩袋+玫瑰） 1米（箱装+玫瑰） 1.2米（彩袋+玫瑰） 1.2米（箱装+玫瑰） 1.4米（彩袋+玫瑰） 1.4米（箱装+玫瑰） 1.6米（彩袋+玫瑰） 1.6米（箱装+玫瑰） 1.8米（彩袋+玫瑰） 2米（超大款送3朵玫瑰） 1.2米（新品体验价每天10只） 2.6米（土豪款送9朵玫瑰）,无,,,,,,,http://detail.tmall.com/item.htm?id=556411469289&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=0,2018-01-12 09:46:23
2018狗年吉祥物公仔批发旺财生肖小狗玩偶礼品狗狗布娃娃毛绒玩具,4.30,6413人付款,超越玩具城,山东 临沂,典爱,,MZ17102801狗年吉祥物,狗狗,其他,2岁 3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,其他,公仔,麂皮绒狗18cm 祥云狗20cm 红泰迪20cm 福财狗12cm 祥瑞狗20cm 掌柜12cm左右搭配发 掌柜16cm左右搭配发 掌柜20cm左右搭配发货 喜庆唐装狗16cm 鸿福狗16cm QQ狗25cm 喜庆超柔狗20cm 红围巾花布狗25cm 多彩花布狗30cm 旺字二哈18cm 特价-旺字二哈26cm 碎花狗20cm 吉祥狗16cm 麂皮绒狗25cm 歪头铃铛旺财18cm 旺福狗16cm 乳白色 白色 米白色 浅灰色 深灰色 灰色 银色 黑色 桔红色 玫红色 粉红色 红色 藕色 西瓜红 酒红色 卡其色 姜黄色 明黄色 杏色 柠檬黄 桔色 浅黄色 荧光黄 金色 香槟色 黄色 军绿色 墨绿色 浅绿色 翠绿色 荧光绿 青色 天蓝色 孔雀蓝 宝蓝色 浅蓝色 深蓝色 湖蓝色 蓝色 藏青色 浅紫色 深紫色 紫红色 紫色 咖啡色 巧克力色 栗色 浅棕色 深卡其布色 深棕色 褐色 驼色 花色 其他颜色,国产,毛绒,PP棉,狗年吉祥物/颜色搭配发/单只价,,,,,,,,http://item.taobao.com/item.htm?id=560667545255&ns=1&abbucket=0#detail,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=0,2018-01-12 09:46:23
泰迪熊大熊毛绒玩具1.8米熊猫公仔抱抱熊2米娃娃女生日礼物送女友,128.00,5528人付款,惠峰旗舰店,江苏 扬州,惠峰,,玫瑰熊系列,熊熊,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,抱抱熊,公仔,爱心毛衣-我爱你 红白条纹-嫁给我吧 红白条纹-开心每一天 红白条纹-生日快乐 红白条纹-我爱你 爱心毛衣 蓝白条纹 红色love毛衣 红白条纹 美国旗 咖啡条纹,国产,毛绒,PP棉,80厘米【送60厘米毛衣熊+玫瑰花】 1米【送60厘米毛衣熊+玫瑰花】 1.2米【送60厘米毛衣熊+玫瑰花】 1.4米【送60厘米毛衣熊+玫瑰花】 1.6米【送60厘米毛衣熊+玫瑰花】 1.8米【送60厘米毛衣熊+玫瑰花】 2米【送60厘米毛衣熊+玫瑰花】 2.2米【送60厘米毛衣熊+玫瑰花】,,,,,,,,http://detail.tmall.com/item.htm?id=525129203915&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=0,2018-01-12 09:46:24
泰迪熊公仔娃娃抱抱熊女生大熊毛绒玩具1.8米熊猫生日礼物送女友,88.00,18117人付款,惠峰旗舰店,江苏 扬州,惠峰,,HF-TDX-001,熊熊,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,Teddy Bear/泰迪熊,公仔,米白美国旗-柔软款 米白红白条纹-柔软款 浅棕美国旗-柔软款 深棕红白条纹-柔软款 深棕蓝白条纹-柔软款 深棕美国旗-柔软款 浅棕红白条纹-柔软款 米白蓝白条纹-柔软款,国产,毛绒,PP棉,直角量1.2米，全长量1米送玫瑰花 直角量1.4米，全长量1.2米送小熊 直角量1.6米，全长量1.4米送小熊 直角量1.8米，全长量1.6米送小熊 直角量2米，全长量1.8米送小熊 直角量2.2米，全长量2米送小熊 全长量1.2米送小熊【箱装】 直角量1米，全长量80厘米送玫瑰花 全长量1.4米送小熊【箱装】 全长量1.6米送小熊【箱装】 全长量1.8米送小熊【箱装】,,单熊,,,,,,http://detail.tmall.com/item.htm?id=529380982466&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=0,2018-01-12 09:46:24
正版小猪佩奇玩具毛绒乔治恐龙小猪佩琪公仔玩偶新年礼物家庭套装,20.00,16964人付款,巧智母婴专营店,浙江 金华,小猪佩奇,,小猪佩奇乔治恐龙玩具,恐龙,,2岁 3岁 4岁 5岁 6岁 7岁 8岁,其他,公仔,一家四口盒装（领券拍下95元）推荐 大号一家四口盒装（领券拍下160）推荐 一家六口（券后152） 超大号四口（券后254元） 小号四口新年礼盒（券后115） 大号四口新年盒装（券后168） 19CM恐龙 29CM乔治的恐龙 46CM乔治的大恐龙 30CM乔治（抱恐龙） 30CM佩奇（抱小熊） 30CM圣诞佩奇 46CM乔治 46CM佩奇 66CM乔治 66CM佩奇 佩奇背包 乔治背包 小伙伴6只盒装 30CM一家四口 30CM一家六口 大号一家六口 16CM乔治圆包 16CM佩奇圆包,原装正版,毛绒,PP棉,正版乔治大恐龙小猪佩奇玩具,,,,,,,,http://detail.tmall.com/item.htm?id=543020177069&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=0,2018-01-12 09:46:25
正版粉红豹毛绒玩具可爱粉红顽皮豹公仔布娃娃生日情人节礼物女生,48.00,33206人付款,捉趣旗舰店,浙江 金华,捉趣,,FHB,狐狸/豹,,3岁 4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,粉红顽皮豹,公仔,粉红豹,原装正版,毛绒,PP棉,55厘米(送发带) 80厘米(送发带) 1.1米(送发带) 1.3米（送发带+随机小公仔） 1.5米（送发带+随机小公仔） 1.8米（送发带+35cm随机公仔）,,,,,,,,http://detail.tmall.com/item.htm?id=558808840443&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=0,2018-01-12 09:46:26
2018狗年吉祥物公仔生肖狗毛绒玩具小狗布娃娃定制LOGO礼品批发,9.90,5679人付款,河小豚旗舰店,山东 临沂,河小豚,,狗年吉祥物公仔,狗狗,,4岁 5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,,公仔,经典唐装狗20厘米 财神到狗高22厘米 福包小汪高22厘米 缤纷花布狗22厘米 鸿福狗高20厘米 喜庆红旺福狗20厘米 旺旺狗20厘米 官帽狗20厘米 洪福齐天狗 高20厘米 旺字当头20厘米 升官旺福狗23厘米 财源滚滚狗 高20厘米 发财狗 高20厘米 纳福迎祥狗18厘米 新状元福21厘米 金犬唐装旺财高20厘米 祥瑞狗高20厘米 彩云福狗高20厘米 花布围巾萌小哈23厘米 钱袋狗20厘米 迎春花布狗高20厘米 卖家帮忙搭配款式 缎面旺狗 高20厘米 大萌犬哈士奇高25厘米,原装正版,毛绒,PP棉,单个价格，颜色平均,无,,,,,,,http://detail.tmall.com/item.htm?id=560602067061&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=0,2018-01-12 09:46:26
泰迪熊公仔布娃娃熊猫毛绒玩具1.6米大熊1.8抱抱熊生日礼物送女友,75.00,6686人付款,豆米玩旗舰店,江苏 扬州,豆米玩,,DMW-TDX-006,熊熊,,5岁 6岁 7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,Teddy Bear/泰迪熊,公仔,咖啡【爱心棕围巾】 咖啡【爱心黄围巾】 浅棕【爱心棕围巾】 浅棕【爱心黄围巾】 米白【爱心棕围巾】 米白【爱心黄围巾】,国产,毛绒,PP棉,全长1.8米【纸箱+送玫瑰花】 全长量1米【彩袋+送玫瑰花】 全长1.2米【彩袋+送玫瑰花】 全长1.4米（彩袋+送玫瑰花） 全长1.4米【彩袋+送玫瑰花】 全长1.6米（彩袋+送玫瑰花） 全长1.6米【彩袋+送玫瑰花】 全长1.8米【彩袋+送玫瑰花】 全长量2米【彩袋+送玫瑰花】 全长量1米【纸箱+送玫瑰花】 全长1.2米【纸箱+送玫瑰花】 全长1.4米【纸箱+送玫瑰花】 全长1.6米【纸箱+送玫瑰花】,,单熊,,,,,,http://detail.tmall.com/item.htm?id=537721467480&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=0,2018-01-12 09:46:26
泰迪熊猫公仔1.8抱抱熊女生布娃娃2米大熊毛绒玩具生日礼物送女友,108.00,14636人付款,豆米玩旗舰店,江苏 扬州,豆米玩,,DMW-TDX-007,熊熊,,7岁 8岁 9岁 10岁 11岁 12岁 13岁 14岁 14岁以上,Teddy Bear/泰迪熊,公仔,深棕【紫条纹围巾】 深棕【红白条纹围巾】 浅棕【红白条纹围巾】 浅棕【紫条纹围巾】,国产,毛绒,PP棉,全长80厘米【彩袋+玫瑰花】 全长80厘米【箱装+玫瑰花】 全长量1米【彩袋+玫瑰花】 全长量1米【箱装+玫瑰花】 全长1.2米【彩袋+送小熊】 全长1.2米【箱装+送小熊】 全长1.4米【彩袋+玫瑰花】 全长1.4米【箱装+送小熊】 全长1.6米【彩袋+玫瑰花】 全长1.6米【箱装+送小熊】 全长1.8米【彩袋+玫瑰花】 全长2米【彩袋+送小熊】 全长1.8米【箱装+送小熊】 全长1.4米（彩袋+送小熊） 全长1.6米（彩袋+送小熊） 全长1.8米（彩袋+送小熊）,,情侣熊,,,,,,http://detail.tmall.com/item.htm?id=546087701857&ns=1&abbucket=0,http://s.taobao.com/search?q=娃娃&ie=utf8&cps=yes&app=vproduct&cd=false&v=auction&tab=all&vlist=1&bcoffset=1&s=0,2018-01-12 09:46:27
